Country,Region,Confirmed,Deaths,Vaccinations
Sierra Leone,Africa,7751,126,3179330
Singapore,Asia,1957916,1632,5161644
Slovakia,Europe,2632434,20481,
Slovenia,Europe,1203345,6842,
Solomon Islands,Oceania,21544,153,311774
Somalia,Africa,27223,1361,5221066
South Africa,Africa,4021386,102194,22345080
South Korea,Asia,24995246,28708,45115681
South Sudan,Africa,17823,138,
Spain,Europe,13441941,114468,41309336
Sri Lanka,Asia,670873,16768,17131785
Sudan,Africa,63344,4962,
Suriname,South America,81114,1385,
Sweden,Europe,2601153,20274,7821474
Switzerland,Europe,4129096,14019,6093079
Syria,Asia,57325,3163,
Taiwan,Asia,6903610,11584,21738916
Tajikistan,Asia,17786,125,
Tanzania,Africa,39513,845,
Thailand,Asia,4685047,32829,57005497
Timor,Asia,23272,138,855487
Togo,Africa,39199,286,2168702
Tonga,Oceania,16182,12,
Trinidad and Tobago,North America,183824,4224,
Tunisia,Africa,1145829,29254,
Turkey,Asia,16919638,101203,57931293
Turks and Caicos Islands,North America,6380,36,
Tuvalu,Oceania,20,,
Uganda,Africa,169396,3630,
Ukraine,Europe,5480098,117050,
United Arab Emirates,Asia,1031179,2346,
United Kingdom,Europe,23735277,207528,
United States,North America,96721113,1062681,264562221
Uruguay,South America,986446,7495,3001585
Uzbekistan,Asia,244334,1637,
Vanuatu,Oceania,11976,14,
Vatican,Europe,29,,
Venezuela,South America,544964,5818,
Vietnam,Asia,11487459,43153,
Wallis and Futuna,Oceania,761,7,
Yemen,Asia,11939,2158,861625
Zambia,Africa,333624,4017,
Zimbabwe,Africa,257749,5604,6421874
